idRestaurant,InspectionDate,ViolationCode,ViolationDescription,CriticalFlag,Score,Grade
41351706,2013-03-13,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,7.0,A
41351706,2013-03-13,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7.0,A
41384170,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,A
41384170,2013-03-13,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A
41409894,2013-03-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25.0,B
41409894,2013-03-13,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,25.0,B
41409894,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,25.0,B
41409894,2013-03-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25.0,B
41409894,2013-03-13,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,25.0,B
41409894,2013-03-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25.0,B
41439729,2013-03-13,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24.0,B
41439729,2013-03-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,B
41439729,2013-03-13,02B,Hot food item not held at or above 140º F.,Critical,24.0,B
41439729,2013-03-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24.0,B
41449514,2013-03-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,
41449514,2013-03-13,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,
41449514,2013-03-13,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,
41451780,2013-03-13,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,9.0,A
41451780,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A
41459769,2013-03-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,
41459769,2013-03-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,
41459769,2013-03-13,02B,Hot food item not held at or above 140º F.,Critical,22.0,
41459769,2013-03-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22.0,
41543811,2013-03-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A
41543811,2013-03-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A
41543811,2013-03-13,09C,Food contact surface not properly maintained.,Not Critical,12.0,A
41546891,2013-03-13,02B,Hot food item not held at or above 140º F.,Critical,12.0,A
41546891,2013-03-13,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A
41546934,2013-03-13,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12.0,A
41546934,2013-03-13,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A
41594110,2013-03-13,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A
41598066,2013-03-13,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,13.0,A
41598066,2013-03-13,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13.0,A
41609186,2013-03-13,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,22.0,
41609186,2013-03-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,
41609186,2013-03-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,
41609186,2013-03-13,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,22.0,
